2753.12 95000   2007      ACME
6       MLA     Cookie maker 5
2900.10 91000   2005      ACME
4       EMP     Cookie maker 2
3210.00 61000   2011      ESMO
4       HP      El-Tik-31A4
3920.00 67000   2012      ESMO
6       HP      El-Tik-32A6
1700.10 71000   2016      DITA
4       EMP     Escaflown-DR16
1200.04 25000   2003      ACME
4       HP      Cookie maker 1
2449.99 23000   2001      ESMO
2       MLA     200RE-Clicker
1478.00 97000   2015      ESMO
5       HP      El-Tik-500G
8000.00 99800   2014      DITA
8       MLA     Escaflown-PeT5
